구분,광역,기초,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
D. 습지,인천,광역,4.514825028,4.734222502,5.151089735,5.131892984,5.64998296,5.907652007,6.034144342,5.263484088,5.642468161,5.762213321,6.006679868,5.732777275,4.577971894,4.947296355
E. 정주지,인천,광역,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F. 기타토지,인천,광역,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G. Harvested wood products,인천,광역,-130.8851953,-130.1538433,-32.12697831,-144.186885,-132.1928387,-101.4711039,-161.3134731,-111.4241825,-97.71180048,-90.66134191,-119.5385794,-143.4530133,-127.2327063,-93.29726808
H. Other,인천,광역,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(직접)폐기물,인천,광역,3685.213646,3478.13041,2908.845511,2690.715612,3153.504531,3297.891551,3469.34179,3413.602736,3294.66865,3199.073353,3253.148034,3287.550128,3297.369433,3226.053227
A. 폐기물매립,인천,광역,3388.763247,3218.428343,2580.031539,2396.506507,2767.896865,2945.802196,3034.932951,3011.752903,2928.583999,2874.194526,3007.986406,3013.105655,2994.01377,2853.673999
B. 고형폐기물의 생물학적 처리,인천,광역,1.76287252,1.70733009,2.019636097,0.081702868,1.057054745,10.31024041,13.57116863,10.32325594,2.269798232,10.17145731,9.267529214,8.846731757,8.935501943,10.98539375
C. 폐기물소각 및 노천소각,인천,광역,178.2686117,177.025629,258.5956143,234.7890557,284.3419832,231.7236561,214.8339944,265.549216,244.0813919,254.5341586,163.1588108,184.4626054,179.1016716,260.9763382
D. 하폐수처리,인천,광역,116.4189148,80.96910712,68.1987208,59.33834631,100.2086281,110.0554591,206.0036754,125.9773613,119.733461,60.17321105,72.73528878,81.13513592,115.3184889,100.4174958
간접총배출량,인천,광역,14880.22564,15003.34263,15226.38896,15156.4641,14627.1382,14667.98896,15286.32004,15603.6604,15856.54483,14748.89663,13004.9065,13832.93793,13612.80441,13286.56905
"간접총(전력, 열)",인천,광역,13708.44881,13840.63446,14085.21557,14106.38382,13524.8349,13606.08003,14084.65754,14409.42122,14777.97699,13679.89735,12003.39873,12809.36809,12556.84264,12216.43764
(간접)전력,인천,광역,13318.86095,13478.8143,13665.73339,13712.66211,13195.86146,13249.03946,13649.38121,13967.53895,14295.97991,13078.557,11405.39026,12196.23917,11922.75925,11489.30028
A. 연료연소,인천,광역,13318.86095,13478.8143,13665.73339,13712.66211,13195.86146,13249.03946,13649.38121,13967.53895,14295.97991,13078.557,11405.39026,12196.23917,11922.75925,11489.30028
1.  에너지산업,인천,광역,1616.442256,1597.354691,1813.015359,2073.899308,2266.163639,2413.183351,2097.900405,1941.525359,1936.753321,1694.903488,1439.263128,1406.082319,1241.734888,1113.56005
2.  제조업 및 건설업,인천,광역,6447.487918,6482.211067,6370.570256,6097.899335,5698.996553,5593.981512,5805.248651,6046.197337,5900.923027,5328.070896,4604.366171,5117.770562,4879.191318,4643.742371
3.  수송,인천,광역,55.03056386,52.32016601,60.51252461,46.45655377,0.493264768,27.00762126,132.501953,139.2142437,145.8767648,138.6688379,128.1259727,146.5504093,131.1592547,146.9957938
4.  기타,인천,광역,5199.900213,5346.92838,5421.635246,5494.40691,5230.208,5214.866978,5613.7302,5840.602009,6312.426801,5916.91378,5233.634985,5525.835875,5670.673788,5585.002068
5.  미분류,인천,광역,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(간접)열,인천,광역,389.5878577,361.8201559,419.4821876,393.7217185,328.9734438,357.0405665,435.2763306,441.882273,481.9970717,601.3403485,598.0084756,613.1289207,634.0833953,727.1373588
A. 연료연소,인천,광역,389.5878577,361.8201559,419.4821876,393.7217185,328.9734438,357.0405665,435.2763306,441.882273,481.9970717,601.3403485,598.0084756,613.1289207,634.0833953,727.1373588
1.  에너지산업,인천,광역,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.  제조업 및 건설업,인천,광역,39.16528611,34.9227684,33.44655623,25.88942951,29.470771,50.50634108,54.56481209,47.87171532,38.09000403,48.87881205,43.25857133,39.37398082,40.8314216,38.52190444
3.  수송,인천,광역,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.  기타,인천,광역,350.4225716,326.8973875,386.0356314,367.832289,299.5026728,306.5342254,380.7115185,394.0105577,443.9070677,552.4615364,554.7499042,573.7549399,593.2519737,688.6154544
5.  미분류,인천,광역,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(간접)폐기물,인천,광역,1171.77683,1162.708175,1141.173384,1050.080276,1102.303301,1061.908931,1201.6625,1194.239182,1078.56784,1068.999277,1001.507764,1023.569842,1055.961767,1070.131405
A. 폐기물매립,인천,광역,851.0739732,828.0189436,805.4867549,789.1841364,775.2336609,758.7564785,753.0987302,745.3559803,744.6889383,730.275873,728.8227917,744.2215896,764.4194325,755.1277128
B. 고형폐기물의 생물학적 처리,인천,광역,1.76287252,1.70733009,2.019636097,0.081702868,1.057054745,10.31024041,13.57116863,10.32325594,2.269798232,10.17145731,9.267529214,8.846731757,8.935501943,10.98539375
C. 폐기물소각 및 노천소각,인천,광역,202.5210692,252.0127937,265.4682726,201.4760908,225.8039568,182.7867532,228.9889255,312.5825846,211.8756421,268.3787359,190.6821547,189.3663847,167.2883435,203.6008022
D. 하폐수처리,인천,광역,116.4189148,80.96910712,68.1987208,59.33834631,100.2086281,110.0554591,206.0036754,125.9773613,119.733461,60.17321105,72.73528878,81.13513592,115.3184889,100.4174958
